iter	RMSE
173	53.75841965
174	53.71396857
175	53.66546506
176	53.59690174
177	53.54613458
178	53.48559394
179	53.43715456
180	53.39076622
181	53.35692292
182	53.3078038
183	53.26508282
184	53.23631844
185	53.17826433
186	53.13695322
187	53.09170538
188	53.04126768
189	52.99956531
190	52.94870791
191	52.91435744
192	52.87688792
193	52.81346311
194	52.75794877
195	52.71589496
196	52.66562434
197	52.6252945
198	52.57530516
199	52.53506868
200	52.49629675
201	52.46721312
202	52.42801583
203	52.37036676
204	52.30951464
205	52.26053222
206	52.21712848
207	52.16282285
208	52.13054299
209	52.09371324
210	52.04260443
211	51.98703888
212	51.95340956
213	51.9055575
214	51.8543911
215	51.81394877
216	51.77653657
217	51.73694185
218	51.69741813
219	51.65958819
220	51.60936826
221	51.58299496
222	51.55308122
223	51.5248497
224	51.49378841
225	51.45205781
226	51.41507183
227	51.3708818
228	51.33252272
229	51.29841247
230	51.27464422
231	51.25162866
232	51.22377987
233	51.1846636
234	51.13530732
235	51.09816968
236	51.05932333
237	51.03427716
238	50.99393155
239	50.95353418
240	50.92641512
241	50.87017077
242	50.83561469
243	50.81343553
244	50.78656004
245	50.76546494
246	50.73897387
247	50.71843345
248	50.66736861
249	50.64247359
250	50.61575441
251	50.58708075
252	50.55746802
253	50.52441059
254	50.49863954
255	50.4560522
256	50.41835911
257	50.39119539
258	50.35348057
259	50.32739632
260	50.30453259
261	50.27752818
262	50.2529601
263	50.22847358
264	50.20095494
265	50.17126469
266	50.14370765
267	50.11168172
268	50.09219213
269	50.0664977
270	50.05149397
271	50.02888683
272	50.00996423
273	49.99153033
274	49.94346184
275	49.90292893
276	49.88720165
277	49.85896703
278	49.82724151
279	49.80595834
280	49.78804087
281	49.76134647
282	49.73485398
283	49.71261022
284	49.68936876
285	49.65434259
286	49.62076228
287	49.59170945
288	49.56684616
289	49.53692257
290	49.50848529
291	49.48590403
292	49.46947293
293	49.45510853
294	49.44093159
295	49.41777602
296	49.37929004
297	49.35545498
298	49.33406175
299	49.3210128
300	49.30520935
301	49.27787345
302	49.25800442
303	49.23670841
304	49.22099278
305	49.20180772
306	49.16560399
307	49.14624255
308	49.12563888
309	49.10400353
310	49.08621963
311	49.04746048
312	49.02518522
313	49.00096322
314	48.98834783
315	48.94708954
316	48.93339499
317	48.90339077
318	48.88066372
319	48.84515411
320	48.80337442
321	48.78596815
322	48.76392902
323	48.74482847
324	48.72184554
325	48.7022942
326	48.68073298
327	48.64970425
328	48.61284187
329	48.58563641
330	48.54932714
331	48.53245749
332	48.50838457
333	48.48670069
334	48.47093021
335	48.44542136
336	48.41514679
337	48.39623806
338	48.37872633
339	48.34376428
340	48.32702763
341	48.30924692
342	48.29398872
343	48.27289622
344	48.24096206
345	48.21099707
346	48.1921559
347	48.1681974
348	48.15102499
349	48.13490176
350	48.10934504
351	48.08229662
352	48.06559509
353	48.05040215
354	48.03867502
355	48.01860506
356	47.99909874
357	47.97757926
358	47.9602544
359	47.93462401
360	47.91962801
361	47.89689266
362	47.87783679
363	47.86249765
364	47.84934558
365	47.83430177
366	47.81114271
367	47.80175758
368	47.79019395
369	47.76830964
370	47.75572328
371	47.73856747
372	47.73199497
373	47.71220128
374	47.70145875
375	47.67732268
376	47.66124545
377	47.64028167
378	47.61401576
379	47.59812049
380	47.58335711
381	47.56427923
382	47.51083377
383	47.47921191
384	47.45858144
385	47.42998298
386	47.40978751
387	47.39338654
388	47.3779287
389	47.36372719
390	47.34914004
391	47.32128211
392	47.29186498
393	47.26189835
394	47.2369306
395	47.21806699
396	47.19549257
397	47.17851493
398	47.15084056
399	47.13864552
400	47.11660382
401	47.10103368
402	47.08659485
403	47.06382086
404	47.0408288
405	47.01517033
406	47.00484534
407	46.98235272
408	46.94261428
409	46.91609264
410	46.89636119
411	46.88109913
412	46.86209166
413	46.83801018
414	46.81611766
415	46.79319476
416	46.78145924
417	46.75495741
418	46.73933358
419	46.71879248
420	46.70675569
421	46.69475586
422	46.65470418
423	46.64185748
424	46.62702115
425	46.61159821
426	46.59406817
427	46.57567338
428	46.55101046
429	46.52800212
430	46.51250798
431	46.48345204
432	46.46699435
433	46.45290826
434	46.44387094
435	46.41960431
436	46.41226161
437	46.39389753
438	46.37603487
439	46.35843393
440	46.33954678
441	46.31665345
442	46.3011102
443	46.28735983
444	46.25232201
445	46.23684325
446	46.22229222
447	46.19932388
448	46.19480248
449	46.17436386
450	46.15123476
451	46.14239691
452	46.10872291
453	46.07856964
454	46.0548364
455	46.04688069
456	46.02758273
457	46.01937751
458	45.99374074
459	45.97728365
460	45.94467462
461	45.92645585
462	45.91303369
463	45.89069999
464	45.87485175
465	45.86747235
466	45.85831647
467	45.83452638
468	45.822907
469	45.81078859
470	45.78710372
471	45.77006898
472	45.75654098
473	45.73876729
474	45.7247857
475	45.70325278
476	45.68507052
477	45.66719764
478	45.64320095
479	45.6322078
480	45.59914725
481	45.58506677
482	45.57615149
483	45.55138156
484	45.53426913
485	45.52675539
486	45.51288501
487	45.49248464
488	45.47350053
489	45.45807518
490	45.45056439
491	45.42914802
492	45.3930601
493	45.3635461
494	45.34059822
495	45.31611671
496	45.29792989
497	45.27942409
498	45.2700626
499	45.256753
