iter	RMSE
0	77.66947709
1	77.38294766
2	77.06599059
3	76.76128562
4	76.43992799
5	76.15301287
6	75.84806016
7	75.56766203
8	75.24708772
9	74.92099763
10	74.63427345
11	74.34710471
12	74.1057187
13	73.84480354
14	73.58570516
15	73.31398299
16	73.05521444
17	72.7766561
18	72.48997288
19	72.23812519
20	71.9976916
21	71.76413014
22	71.51577843
23	71.33882076
24	71.14185187
25	70.86723804
26	70.64015197
27	70.45649762
28	70.24135858
29	69.99183435
30	69.74057925
31	69.5130406
32	69.29596953
33	69.10975261
34	68.89735451
35	68.70715497
36	68.49137461
37	68.27917095
38	68.08737972
39	67.87405598
40	67.64870478
41	67.42773982
42	67.20366849
43	67.01847286
44	66.81843988
45	66.63177294
46	66.48611511
47	66.29211319
48	66.12584663
49	65.97114014
50	65.78722018
51	65.60774364
52	65.42870575
53	65.2399276
54	65.05616782
55	64.8937193
56	64.70976202
57	64.53578306
58	64.36400289
59	64.19199696
60	64.03643403
61	63.88451964
62	63.74139481
63	63.59996251
64	63.45745613
65	63.30797463
66	63.1579541
67	63.00676754
68	62.88515545
69	62.73706482
70	62.5752671
71	62.43532857
72	62.30917622
73	62.16913733
74	62.04093638
75	61.91767188
76	61.76815071
77	61.66199755
78	61.54270176
79	61.43257549
80	61.29351986
81	61.19050708
82	61.0634564
83	60.94216811
84	60.82132298
85	60.70501519
86	60.58391427
87	60.4690208
88	60.35797228
89	60.23245294
90	60.1441711
91	60.04706675
92	59.94056284
93	59.81774611
94	59.71607645
95	59.61601736
96	59.51501775
97	59.40917371
98	59.31288747
99	59.22659741
100	59.15293411
101	59.04370708
102	58.92962561
103	58.80925976
104	58.71907063
105	58.61300825
106	58.49945017
107	58.41999895
108	58.31500971
109	58.22641194
110	58.14773209
111	58.0423079
112	57.94890937
113	57.86178208
114	57.77390691
115	57.68640141
116	57.58589204
117	57.5007541
118	57.41457197
119	57.35136746
120	57.26788463
121	57.18081195
122	57.10131148
123	57.0137902
124	56.93414341
125	56.85631122
126	56.77537311
127	56.70123179
128	56.62907301
129	56.56482949
130	56.48686641
131	56.41722971
132	56.334257
133	56.25367622
134	56.16748922
135	56.09688344
136	56.02511353
137	55.95033599
138	55.86473494
139	55.79005568
140	55.72405197
141	55.65875589
142	55.58871497
143	55.49844854
144	55.41170842
145	55.34469297
146	55.2829049
147	55.21780863
148	55.14931261
149	55.07019468
150	55.00246402
151	54.93748327
152	54.86939168
153	54.81893136
154	54.75954146
155	54.70671203
156	54.64294613
157	54.5889484
158	54.53486451
159	54.4760045
160	54.415599
161	54.38219049
162	54.31496037
163	54.25355979
164	54.21584483
165	54.16061502
166	54.11072134
167	54.04143467
168	54.00494368
169	53.96724351
170	53.90741425
171	53.84902982
172	53.80987691
